INFO 2020-12-04 01:49:00,171 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:49:37,985 basehttp 124 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:49:38,160 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 20157
INFO 2020-12-04 01:49:38,219 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:49:51,351 basehttp 124 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:49:51,461 basehttp 124 "GET /admin/home/banner/ HTTP/1.1" 200 28871
INFO 2020-12-04 01:49:51,546 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:49:51,548 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 200 4198
INFO 2020-12-04 01:50:58,663 basehttp 124 "GET /home/navs/ HTTP/1.1" 200 2
INFO 2020-12-04 01:50:58,685 basehttp 124 "GET /home/banners/ HTTP/1.1" 200 235
INFO 2020-12-04 01:50:58,694 basehttp 124 "GET /home/navss/ HTTP/1.1" 200 2
INFO 2020-12-04 01:50:58,900 basehttp 124 "GET /media/banner/u28284560553033810444fm26gp0.jpg HTTP/1.1" 200 14065
INFO 2020-12-04 01:50:58,936 basehttp 124 "GET /media/banner/u24884969742074311430fm26gp0.jpg HTTP/1.1" 200 23154
INFO 2020-12-04 01:51:42,841 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19823
INFO 2020-12-04 01:51:45,202 basehttp 124 "GET /home/navs/ HTTP/1.1" 200 2
INFO 2020-12-04 01:51:52,244 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19823
INFO 2020-12-04 01:51:55,184 basehttp 124 "GET /admin/home/nav/ HTTP/1.1" 200 24726
INFO 2020-12-04 01:51:55,304 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:51:57,102 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19169
INFO 2020-12-04 01:51:57,167 basehttp 124 "GET /static/xadmin/vendor/select2/select2.css HTTP/1.1" 200 19226
INFO 2020-12-04 01:51:57,184 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.bootstrap3.css HTTP/1.1" 200 10602
INFO 2020-12-04 01:51:57,186 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.css HTTP/1.1" 200 8425
INFO 2020-12-04 01:51:57,190 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.js HTTP/1.1" 200 98602
INFO 2020-12-04 01:51:57,235 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:51:57,263 basehttp 124 "GET /static/xadmin/vendor/select2/select2.js HTTP/1.1" 200 104906
INFO 2020-12-04 01:51:57,276 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_zh-hans.js HTTP/1.1" 200 694
INFO 2020-12-04 01:51:57,285 basehttp 124 "GET /static/xadmin/js/xadmin.widget.select.js HTTP/1.1" 200 1344
INFO 2020-12-04 01:52:08,557 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:52:08,814 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19515
INFO 2020-12-04 01:52:08,910 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:52:27,347 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:52:27,682 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19520
INFO 2020-12-04 01:52:27,795 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:52:40,592 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:52:40,703 basehttp 124 "GET /admin/home/nav/ HTTP/1.1" 200 29931
INFO 2020-12-04 01:52:40,768 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:52:47,780 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19169
INFO 2020-12-04 01:52:47,860 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:52:54,679 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:52:54,849 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19520
INFO 2020-12-04 01:52:54,906 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:53:05,193 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:53:05,378 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19511
INFO 2020-12-04 01:53:05,466 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:53:26,155 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:53:26,376 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19511
INFO 2020-12-04 01:53:26,463 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:53:43,032 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:53:43,255 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19511
INFO 2020-12-04 01:53:43,355 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:53:59,705 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:54:00,056 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19511
INFO 2020-12-04 01:54:00,169 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:54:06,956 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19169
INFO 2020-12-04 01:54:09,401 basehttp 124 "GET /admin/home/banner/ HTTP/1.1" 200 28585
INFO 2020-12-04 01:54:09,460 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:54:10,353 basehttp 124 "GET /admin/home/nav/ HTTP/1.1" 200 32581
INFO 2020-12-04 01:54:10,445 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:54:10,979 basehttp 124 "GET /admin/home/nav/ HTTP/1.1" 200 32581
INFO 2020-12-04 01:54:11,057 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:54:13,951 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19169
INFO 2020-12-04 01:54:14,025 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:54:22,300 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:54:22,425 basehttp 124 "GET /admin/home/nav/ HTTP/1.1" 200 33462
INFO 2020-12-04 01:54:22,498 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:54:24,332 basehttp 124 "GET /admin/home/nav/9/update/ HTTP/1.1" 200 19495
INFO 2020-12-04 01:54:24,404 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:54:28,382 basehttp 124 "POST /admin/home/nav/9/update/ HTTP/1.1" 302 0
INFO 2020-12-04 01:54:28,560 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19452
INFO 2020-12-04 01:54:28,622 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:54:43,021 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:54:43,252 basehttp 124 "GET /admin/home/nav/add/ HTTP/1.1" 200 19512
INFO 2020-12-04 01:54:43,352 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-12-04 01:54:58,122 basehttp 124 "POST /admin/home/nav/add/ HTTP/1.1" 302 0
INFO 2020-12-04 01:54:58,276 basehttp 124 "GET /admin/home/nav/ HTTP/1.1" 200 34646
